data/train/n02108551_1991_jpg.rf.0005685cb416fac8870967d5f0cfc1cb.jpg,38,7,220,210,Tibetan_mastiff
data/train/n02115641_8150_jpg.rf.001a5506b58fa4ce58a8785476dc382b.jpg,39,38,140,182,dingo
data/train/n02111129_1670_jpg.rf.001a569253cea92d14e99e156487413c.jpg,34,29,222,201,Leonberg
data/train/n02113186_1695_jpg.rf.00251ce0a1f61ded30678a4a96a561be.jpg,11,22,210,212,Cardigan
data/train/n02111889_5738_jpg.rf.00486283b02b0e90c14186d3bc9a3fd1.jpg,58,35,143,198,Samoyed
data/train/n02108422_56_jpg.rf.006e03745fc23702cd95552defa8ca23.jpg,43,19,223,223,bull_mastiff
data/train/n02112350_10177_jpg.rf.0086f2113dfe20697986dc66031695fd.jpg,55,18,188,202,keeshond
data/train/n02107142_13677_jpg.rf.008f71c0cb62bd3defea7fb03d2d54ca.jpg,69,27,172,223,Doberman
data/train/n02113186_9208_jpg.rf.009fe3e7e11dda2ae2cd56b42492cf9d.jpg,19,4,222,221,Cardigan
data/train/n02108422_2379_jpg.rf.00a986492eb8d5bad737ab3d80bdc6d9.jpg,0,49,223,222,bull_mastiff
data/train/n02109047_13211_jpg.rf.00b3db62a222d7670fbc42217c62fe7e.jpg,17,66,222,223,Great_Dane
data/train/n02110806_3970_jpg.rf.00b5ef74ca91a0aa5007147dae84298c.jpg,43,127,133,202,basenji
data/train/n02116738_8719_jpg.rf.00cb4757f7b50f9ba3084200ba6df08d.jpg,37,26,168,195,African_hunting_dog
data/train/n02112018_290_jpg.rf.00ff8faf050a0956d0366bff0f465a9f.jpg,96,67,144,199,Pomeranian
data/train/n02115641_970_jpg.rf.01075722cfaea1e6f4d90a68cfc22b43.jpg,71,45,200,175,dingo
data/train/n02113023_209_jpg.rf.010a8bdbf633b6ddfd8af5344c3b257f.jpg,55,32,171,209,Pembroke
data/train/n02108422_3169_jpg.rf.01195c370df80230054ff1cda5e7c960.jpg,0,43,178,222,bull_mastiff
